dice,iou,accuracy,sensitivity,specificity,image_id
0.8655486702919006,0.7629668116569519,0.9930267333984375,1.0,0.9928666353225708,107
0.8559878468513489,0.7482331991195679,0.991302490234375,0.7686025500297546,0.9990525841712952,108
0.9239527583122253,0.8586544394493103,0.9863433837890625,0.87313312292099,0.9982296228408813,109
0.8697808980941772,0.7695683836936951,0.9855804443359375,0.7695683836936951,1.0,110
0.9078506231307983,0.831251323223114,0.9878387451171875,0.8850315809249878,0.9953027963638306,111
0.9388759732246399,0.8847938179969788,0.9931793212890625,0.885706901550293,0.9999351501464844,112
0.8195669651031494,0.6942934989929199,0.9965667724609375,0.998046875,0.9965550899505615,113
0.8003998398780823,0.6672222018241882,0.9908599853515625,0.6720761060714722,0.9997960925102234,114
0.9236012697219849,0.8580474853515625,0.9958953857421875,0.9801084995269775,0.9963054060935974,115
0.9230769276618958,0.8571428656578064,0.994873046875,0.8853754997253418,0.9988144040107727,116
0.949520468711853,0.9038923382759094,0.9969482421875,0.9043269157409668,0.9999842643737793,117
0.9190003275871277,0.8501392602920532,0.9794769287109375,0.99856036901474,0.9769582748413086,118
0.8839949369430542,0.792106568813324,0.9873809814453125,0.7953054308891296,0.9997401237487793,119
0.9554947018623352,0.9147820472717285,0.98809814453125,0.9320939779281616,0.9969939589500427,120
0.8905560374259949,0.8027048707008362,0.992431640625,1.0,0.9921911954879761,121
0.9157642722129822,0.8446173071861267,0.9887237548828125,1.0,0.9879874587059021,122
0.853304922580719,0.7441428303718567,0.989501953125,0.7444196343421936,0.999984085559845,123
0.8750471472740173,0.7778522372245789,0.908966064453125,0.961211085319519,0.8830445408821106,124
0.9748527407646179,0.9509392380714417,0.9905548095703125,0.9794285893440247,0.9931126236915588,125
0.8317617177963257,0.7119794487953186,0.91778564453125,0.9876900315284729,0.8996753096580505,126
0.8780187964439392,0.7825610637664795,0.9122161865234375,1.0,0.8716736435890198,127
0.9470260739326477,0.8993822336196899,0.9281768798828125,0.9887434244155884,0.8160379528999329,128
0.9546759128570557,0.9132822751998901,0.9828948974609375,0.9201870560646057,0.9981595873832703,129
0.9331212043762207,0.8746271729469299,0.9820404052734375,0.8842343091964722,0.9981866478919983,130
